BRISBANE INTERNATIONAL	Australia,	YBBN,	AUSTRALIA (QUEENSLAND)
CAIRNS	Australia,	YBCS,	AUSTRALIA (QUEENSLAND)
CARNARVON	Australia,	YPCR,	AUSTRALIA (WA)
CHARLEVILLE	Australia,	YBCV,	AUSTRALIA (QUEENSLAND)
COFF'S HARBOUR	Australia,	YSCH,	AUSTRALIA (NSW)
DARWIN INTERNATIONAL	Australia,	YDDN,	AUSTRALIA (NT)
DUBBO	Australia,	YSDU,	AUSTRALIA (NSW)
GOVE	Australia,	YDGV,	AUSTRALIA (NT)
GROOTE EYLANDT	Australia,	YDGE,	AUSTRALIA (NT)
HAMILTON ISLAND	Australia	YBMN	AUSTRALIA (QUEENSLAND)
HOBART	Australia	YMHB	AUSTRALIA (TS)
KALGOORLIE	Australia	YPKG	AUSTRALIA (WA)
KARRATHA	Australia	YPKA	AUSTRALIA (WA)
KUNUNURRA	Australia	YPKU	AUSTRALIA (WA)
LAVERTON	Australia	YMLV	AUSTRALIA (WA)
LEARMONTH	Australia	YPLM	AUSTRALIA (WA)
MACKAY	Australia	YBMK	AUSTRALIA (QUEENSLAND)
MAROOCHYDORE	Australia	YBMC	AUSTRALIA (QUEENSLAND)
MELBOURNE ESSENDON	Australia	YMEN	AUSTRALIA (VI)
MELBOURNE TULLAMARINE INTERNATIONAL	Australia	YMML	AUSTRALIA (VI)
MOUNT ISA	Australia	YBMA	AUSTRALIA (QUEENSLAND)
NEWMAN	Australia	YPNW	AUSTRALIA (WA)
PARABURDOO	Australia	YPPB	AUSTRALIA (WA)
PORT HEDLAND	Australia	YPPD	AUSTRALIA (WA)
PROSSERPINE	Australia	YBPN	AUSTRALIA (QUEENSLAND)
RICHMOND MIL. & CIVIL	Australia	YSRI	AUSTRALIA (QUEENSLAND)
SYDNEY KINGSFORD SMITH INTERNATIONAL	Australia	YSSY	AUSTRALIA (NSW)
TAMWORTH	Australia	YSTW	AUSTRALIA (NSW)
TOWNSVILLE	Australia	YBTL	AUSTRALIA (QUEENSLAND)
WAGGA WAGGA	Australia	YSWG	AUSTRALIA (NSW)
WEIPA	Australia	YBWP	AUSTRALIA (QUEENSLAND)
WOOMERA	Australia	YPWR	AUSTRALIA (SA)
